keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,marca,linha,modelo,processador,nome_do_sistema_operacional,capacidade_de_armazenamento,placa_gráfica,capacidade_total_do_módulo_de_memória_ram,capacidade_de_disco_ssd,cor,versão_do_sistema_operacional,quantidade_de_núcleos,é_gamer,otimizado_para_ia,fabricante,modelo_alfanumérico
mac-mini-m4,"Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd",7999,https://produto.mercadolivre.com.br/MLB-4061073337-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-ram-512gb-ssd-_JM?searchVariation=187926634631,Frete grátis,2025-05-18 18:21:23.140525,"Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd",7999,Novo,"em 12x R$ 666 , 58 sem juros",Apple,M4,Mac mini,M4,macOS,512 GB,Apple M4 10-core,16 GB,512 GB,Prateado,Sequoia,10,Não,Não,Apple,MU9ELL/A
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb Ram 512gb Ssd,9599,https://produto.mercadolivre.com.br/MLB-5171834640-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-ram-512gb-ssd-_JM?searchVariation=182183140022,Frete grátis,2025-05-18 18:21:23.141603,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb Ram 512gb Ssd,9599,Novo  |  +5 vendidos,"em 12x R$ 790 , 84",Apple,M4,Mac mini,M4,macOS,,Apple M4 10-core,16 GB,512 GB,Prateado,Sequoia,10,,Não,Apple,MU9D3LL/A
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 1tb Ssd,14199,https://produto.mercadolivre.com.br/MLB-5307520910-apple-mac-mini-m4-2024-10cpu-10gpu-24gb-ram-1tb-ssd-_JM?searchVariation=183060870974,Frete grátis,2025-05-18 18:21:23.141603,Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 1tb Ssd,14199,Novo  |  1 vendido,"em 12x R$ 1.255 , 58",Apple,M4,Mac mini,M4,macOS,,Apple M4 10-core,24 GB,1 TB,Prateado,Sequoia,10,Não,Não,Apple,Z1CF000C7
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb,6035,https://produto.mercadolivre.com.br/MLB-4034530973-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-256gb-_JM?searchVariation=183374247584,Frete grátis,2025-05-18 18:21:23.141603,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb,6035,Novo,"em 12x R$ 502 , 92 sem juros",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,,,Não,Não,,MU9D3LL/A
mac-mini-m4,"Apple Mac Mini M4, 16gb Ram, 256gb",5999,https://produto.mercadolivre.com.br/MLB-5351616214-apple-mac-mini-m4-16gb-ram-256gb-_JM?searchVariation=183358731454,Frete grátis,2025-05-18 18:21:23.141603,"Apple Mac Mini M4, 16gb Ram, 256gb",5999,Novo,"em 12x R$ 576 , 70",Apple,MAC MINI,Mac Mini M4,M4,macOS,256 GB,10-Core GPU,16 GB,,Prateado,,14,Não,Não,Apple,A3238
mac-mini-m4,Apple Mac Mini M4 16gb 256gb Ssd Cinza Macos,5587,https://produto.mercadolivre.com.br/MLB-3964370751-apple-mac-mini-m4-16gb-256gb-ssd-cinza-macos-_JM?searchVariation=182822025180,Frete grátis,2025-05-18 18:21:23.185176,Apple Mac Mini M4 16gb 256gb Ssd Cinza Macos,5587,Novo  |  +25 vendidos,"em 12x R$ 465 , 58 sem juros",Apple,mac,Mac mini,M4,macOS,256 GB,,16 GB,256 GB,Cinza,Ventura,8,Não,Não,Apple,
mac-mini-m4,Mini Mac M4 10 Nucleos Memoria 16 Ssd 256gb,5649,https://www.mercadolivre.com.br/mini-mac-m4-10-nucleos-memoria-16-ssd-256gb/up/MLBU3132319777,Frete grátis,2025-05-18 18:21:23.185176,Mini Mac M4 10 Nucleos Memoria 16 Ssd 256gb,5649,Novo  |  +5 vendidos,"em 12x R$ 542 , 96",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,,Silver,,,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,6599,https://produto.mercadolivre.com.br/MLB-5310805116-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-256gb-envio-hoje-_JM?searchVariation=183081273230,Frete grátis,2025-05-18 18:21:23.186191,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,6599,Novo  |  +25 vendidos,"em 12x R$ 549 , 92 sem juros",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,,,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado,5487,https://www.mercadolivre.com.br/mac-mini-apple-m4-10core-16gb-ram-256gb-ssd-prateado/up/MLBU3165451156,Frete grátis,2025-05-18 18:21:23.186191,Mac Mini Apple M4 10-core 16gb Ram 256gb Ssd Prateado,5487,Novo  |  1 vendido,"em 12x R$ 527 , 39",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,macOs  Sequoia,10,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Mac Mini M4 Chip 10core Cpu And 10core Gpu 256gb Com Nf,5869,https://produto.mercadolivre.com.br/MLB-4065695161-mac-mini-m4-chip-10core-cpu-and-10core-gpu-256gb-com-nf-_JM?searchVariation=183643615088,Frete grátis,2025-05-18 18:21:23.186191,Mac Mini M4 Chip 10core Cpu And 10core Gpu 256gb Com Nf,5869,Novo,"em 12x R$ 489 , 08 sem juros",Apple,Mac Mini M4,Mac mini,M4,macOS,256 GB,10 CORE GPU,16 GB,256 GB,Cinza,MacOS,10,Não,Não,Apple,111172201993
mac-mini-m4,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,5925,https://www.mercadolivre.com.br/apple-mac-mini-m4-2024-10cpu-10gpu-16gb-256gb-envio-hoje/up/MLBU3179088835,Frete grátis,2025-05-18 18:21:23.186191,Apple Mac Mini M4 (2024) 10cpu 10gpu 16gb 256gb Envio Hoje,5925,Novo,"em 12x R$ 569 , 53",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,iOS,10,Não,Não,APPLE INC,MU9D3LL/A
mac-mini-m4,Mini Pc Lenovo M910 Core I5 7° Ger 16 Gb Ram Ssd 240gb Win10 127/220v,1218,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=gkJj38IrVpe6j20WaVVc0yC2tnzUai68h5AX0WCzo9aH8YW5JjcxkBBpR0bB%2F168l90k8zAQhkY6fN7D8sZIAzAB7uqtH1f92HtgmyCPtv8F%2FPY2TiEZyydIt%2B4XSyu4V76QcjEpquCTmiwTCu3w4HxShZs9HDErkn3Yz9QapuiWQ3VIMLiYxhU5H%2FovL4VhVB7I5mDzWkHzoMM2N9OrWCO%2BMdyI%2FQ%2BO6IFHPkXD9Luki8y%2FhpNz2cL%2BSnohNOIPS21lASVwbW1KZN4TCcCtbEdqmUgpGrc2xMEK%2B75KC9ahqagmozWzO1bSuYlyy897JE8kqvcrfGW0iybx5ikEefzNgA%2BZn5GYPHvuptYsfIySlYqrED6RHP%2BCrVBI%2FuhVeXRZhtZeCN7B5rOVd87FNd%2FYOv6f2o%2FVXYUmjfjVBvO0IkMYCOlGRDjiCqlbaT1A9OMBuI0ozbwObmNnFSUimWtw9zukySzz9SQVxvKSnNFnawDEx%2FSyuEAHo7GHr%2BuyzgGq1GnU9o1Epk58JzYTgB%2FTIksSnjw5sv51NWKSK3CynD67%2FsrcK6lo8nPd6rXLLHfBaOXrV0BYDz41LQTlTe9zH2pspGIGH2RdTtP8452GmeqG8zu0QqmJQSIR6b%2F6fhMQcsrSC6f0oVKNZD8A%2FkdMl1%2BLSZSqzGBGGSbVm7OagIVH55%2FBvlU663CXwFkcjzaL2KIW%2F84ikTrQ0iM79JvGglkLi8pvJZwz8gRzf1FG8w3%2FbuYpUgVpw1PZN3%2FM3jMCowQzozDp5sgK2YkIHrunieYj0HfKUkMCBzOaOe8pb1IghUa7r%2BDCx3SriH%2FDCHkrr3gzUKh6R8323ue3ecj0kybkW58g6DqhKpAzK1GTWFGdOgzCA0UjgJ4z%2B12z2TOtTE%2FAk3BQMH05hhtVEIOvISSEKmr40vPA1s7b8F0EktaGYQq2wbRYrmrEHt6mLQupMPbPA1baYc4LY4AZxGPFxDBYKnl5MmrgB8XAXfeycMsXj7LxKpw3foQii%2Fnd4Ef0Y5IJi5dzJ3351jbZ,Frete grátis,2025-05-18 18:21:23.186191,Mini Pc Lenovo M910 Core I5 7° Ger 16 Gb Ram Ssd 240gb Win10 127/220v,1218,Novo  |  +1000 vendidos,"em 12x R$ 101 , 50 sem juros",Lenovo,M Tiny,M910,Intel Core i5,Windows 10,240 GB,intel,16 GB,240 GB,Preto,Windows 10,4,Não,Não,Lenovo,
mac-mini-m4,Mini Pc Lenovo Thinkcentre M910q I5 6°ger.. Mem 8gb Ssd 240,1999,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=icAIChuUoHHdjREJP8t4YUzJ6EcpCU1KH%2FqZgVTRdvVMvtyWm%2BgZN1qOx0y7OY2UZyP1BNAJmiBRRHRqzPN8im1TQfRic92OkbTGa8rvmnNR3C6iGpheKriwxYeMeXDzDGPJJu%2BTUtX5DOkcZoFPMXQoprgEt28FIIIjNuI0I8NKSc5%2F3bOAOM4cSVclu06yw%2BVmB238hYEl9NYspv3i%2Be8CLYB5lByvKsVS7%2FdTZR2LaOAgw2VLgfYE0EbwDoRjdFpe0oupP5PxiB43FDOc%2FJGFVciT1u3bdHpllQ4JXB4SuMzlIrJ7v%2BCO9DgaCoXQpfpHTMsqjBNrJGF6PcsWgKSTe6AsMoZf4MoBPX5jxO7YMnnqeIuoIP1AbEVYOKcoQ1RclN1B0JhF1LE0k9s4a2Z921fqMRVCiW%2FBc5BqjEyr%2FYAW%2BJbt%2BD5%2F0oAgvKemGQLripGWOt7NL%2FYWaQih4nosxbGcBhtV5aOJ%2FptkkyEYlTmay%2B1%2Fzgqk5oDgsruGeqZIIMF0uJgTU57jA1ZO80bKKuQJ3VBvhxnRlp0tWk4F4CzapL%2FgumzjzCWhwLvYhxRAgJUR70vUCM38%2FHUyVoVkkwYsHW4bE33xmOOpoBw453L3NTZVsJ1t193tMVeYvzZZzL9QId2Xa5hi5%2FxPNQjzddsXHE9zMipEbkbEFxS2QeuePhtvkYAEqJ8U%2BVB7HniVFYoCVmjCr8fPedX4X0Bv3CQG1Dphxkw5MNa4h9P1qoFop3SPgibP87KFDbj4r%2FSDogo9b420m%2FSqweT41WnSuDa3a70Yf%2BNsbjBhC7EBc6PvyVNS2AbkK%2FRM%2Bsz7cuNB1uY7ta2MSWXYOBPkH441SqRt6Q5o9MOOLx5MCy07mWbVN7L%2FCMoGxa6WDdMevpGfXqujN9Q2NRIbRQLpCI8HMFkVvmqecU7goYGyq509GrBmf%2FVQHhLEzQ47uj9%2FCJ9J9Yw%3D&searchVariation=178237077287,Chegará grátis amanhã,2025-05-18 18:21:23.187192,Mini Pc Lenovo Thinkcentre M910q I5 6°ger.. Mem 8gb Ssd 240,1999,Novo  |  +100 vendidos,"em 12x R$ 116 , 61 sem juros",Mini PC Lenovo,Mini CPU M Tiny,Mini Desktop M910,Intel Core i5,Windows,240 GB,Intel Core i5-6600T,8 GB,240 GB,Preto,10,,Não,Não,,
mac-mini-m4,Mini Computador Pc Core I5 8gb Ram Ssd 240gb + Wi-fi,1199,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=egmccR28AFuQSTFAeq3pmsNzvSPKBdj5uuvm1%2B1fHRfG1thmoMF4wC%2FaPOkf1CZCwc6CuZZ8sDIZMLCqdLMhiSFNpDujc1%2FpJDagM9g4sLv1JqtE8ORM7WRtq6uCqAbXL3a2CR0nN3pZELpFYmDApkEMFPrxtUqN%2FLahs9m07wwBCfhL6HgGYFheQJYHxZhc4WhJdeUDqA%2FyVQsL1jdCZBuSz2WHWl51hGYSdlzLuxrpTybFITHpqNaEKDwHni1hKefFqe430Z1nahTQINVumOZhJc%2BHh2E3Ihz9vMedv9GuYjQR3v4XpfwMNscRE2nJhuKMD441IThNR8DyvEjZBrpaHcFeocJ6BiiYjH71KftZph0oyWl1LiK%2F0IOP63QYSDQViKwrsYEV%2Bxzeoyr1lYDHKpIPprzalA5cSuAO0qAucMZS10IgOPFvfK4Mi%2FQQe56brExkGy9u0ONaQIKAiFXH6PojboRSkJRf2U%2FPtCxyIvc%2F4FZYYS3x47dy%2FuWS5xxu3FL3nDbTs1WyQB%2Faej9XEZxC4pDyA9wBKA6qlcR%2Fom3%2BROGPfvftOR0rd%2FimnXC%2FXcmt3yd9CNZQ1tt744O61J3ts73AW9XE17pIGBsTmbjDxyKkEGxQUYGbt%2FQI4hV4dDZj2ACDfeUBry4nd2L4kZ2%2BKs8KiN%2Bgat6Jt4tKHKRgnvdN33dC0Cj7W9RssG4hju%2F7C%2BvXzlmLqbNB6%2F3Wj5XqWdU7hABLOBLWX311E%2B7FKyRKfZ36k2RIx54ZGLGozw4JBztjqPRBHJX9W%2BAOO5BkjrSypqTPbQnsiy6KXAWPw51t06LSCVm70xF1CPY2%2BXphymfqe8Wovo8585qB2jD0A7a3nGfM7SyccQbq%2Bmjx%2FohBEKR2aPct5xYir6rXKU8t7secfDpb%2BNwtD90h4e2RCXcpPoqaM7aIS8p2prH%2F6eAaAeISQAIS9dc%3D&searchVariation=179139640152,Frete grátis,2025-05-18 18:21:23.187192,Mini Computador Pc Core I5 8gb Ram Ssd 240gb + Wi-fi,1199,Novo  |  +100 vendidos,em 12x R$ 100 sem juros,MONDRAGON,Mini Pc Intel Core i5 4° Ger,Mini i5 HM87,Intel Core i5,Windows 10,256 GB,Intel(R) HD Graphics 4600,8 GB,256 GB,Preto,10 Pro,2,Não,Não,MONDRAGON,
mac-mini-m4,Apple Mac Mini M4 - 10cpu 10gpu - 16gb Ram / 256gb Ssd,7440,https://produto.mercadolivre.com.br/MLB-5247712890-apple-mac-mini-m4-10cpu-10gpu-16gb-ram-256gb-ssd-_JM?searchVariation=186669891669,Frete grátis,2025-05-18 18:21:23.187192,Apple Mac Mini M4 - 10cpu 10gpu - 16gb Ram / 256gb Ssd,7440,Novo  |  +5 vendidos,em 12x R$ 496 sem juros,Apple,MAC MINI,Mac Mini M4,M4,macOS,256 GB,10-Core GPU,16 GB,256 GB,,Sequoia,,Não,Não,Apple,A3238
mac-mini-m4,Apple Mac Mini C/chip M4 16gb Ram 256gb Ssd,5999,https://produto.mercadolivre.com.br/MLB-4047658009-apple-mac-mini-cchip-m4-16gb-ram-256gb-ssd-_JM?searchVariation=187757441077,Frete grátis,2025-05-18 18:21:23.187192,Apple Mac Mini C/chip M4 16gb Ram 256gb Ssd,5999,Novo  |  +5 vendidos,"em 12x R$ 499 , 92 sem juros",Apple,mac,MAC MINI M4,M4,macOS,256 GB,,16 GB,256 GB,Cinza,,,Não,Não,,MU9D3LL/A
mac-mini-m4,"Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,",13387,https://produto.mercadolivre.com.br/MLB-5284089126-apple-mac-mini-m4-pro-2024-12cpu-16gpu-24gb-ram-512gb-ssd-_JM?searchVariation=182880644022,Frete grátis,2025-05-18 18:21:23.187192,"Apple Mac Mini M4 Pro (2024) 12cpu 16gpu 24gb Ram 512gb Ssd,",13387,Novo  |  3 vendidos,"em 12x R$ 1.115 , 58 sem juros",Apple,M4,Mac mini,M4 Pro,macOS,512 GB,Apple M4 12-core,24 GB,512 GB,Prateado,Sierra,8,Não,Não,Apple,MCX44LL/A
mac-mini-m4,"Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x",11899,https://produto.mercadolivre.com.br/MLB-5171847080-apple-mac-mini-m4-2024-10cpu-10gpu-24gb-ram-512gb-ssd-12x-_JM?searchVariation=182183205290,Frete grátis,2025-05-18 18:21:23.188192,"Apple Mac Mini M4 (2024) 10cpu 10gpu 24gb Ram 512gb Ssd, 12x",11899,Novo  |  +5 vendidos,"em 12x R$ 862 , 68 sem juros",Apple,M4,Mac mini,M4,macOS,,Apple M4 10-core,24 GB,512 GB,Prateado,Sequoia,10,,Não,Apple,MCYT4LL/A
mac-mini-m4,"Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd",8259,https://produto.mercadolivre.com.br/MLB-5336906406-apple-mac-mini-m4-2024-10cpu-10gpu-16gb-ram-512gb-ssd-_JM?searchVariation=183259989724,Frete grátis,2025-05-18 18:21:23.188192,"Apple Mac Mini M4 (2024) 10cpu 10gpu, 16gb Ram, 512gb Ssd",8259,Novo  |  +5 vendidos,"em 12x R$ 688 , 25 sem juros",Apple,M4,Mac mini,M4,macOS,512 GB,Apple M4 10-core,16 GB,512 GB,Prateado,Sequoia,10,Não,Não,Apple,MU9ELL/A
mac-mini-m4,Apple Mac Mini M4 24gb Ram 512gb Lacrado Com Garantia Apple,10196,https://produto.mercadolivre.com.br/MLB-4062682201-apple-mac-mini-m4-24gb-ram-512gb-lacrado-com-garantia-apple-_JM?searchVariation=183611006996,Frete grátis,2025-05-18 18:21:23.188192,Apple Mac Mini M4 24gb Ram 512gb Lacrado Com Garantia Apple,10196,Novo,"em 12x R$ 849 , 68 sem juros",Apple,M4,Mac mini,M4,macOS,,Apple M4 10-core,24 GB,512 GB,Prateado,Sequoia,10,Não,Não,Apple Inc,MCYT4LL/A
mac-mini-m4,Mini Pc Lenovo M900 Core I5 6th 16gb Ssd 240gb Windows 11,1349,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kN2x3rDmvVgeV2%2BBbVzdVePxDX3HCfb08VgFt81fAAOEbaJH5fa6s4rPQZFbbFoRrqQXT4BjFY7gdFuO8vAkitW7jMFPdkmTb4uWWlN5JTlagHtD6tmymdX6G91adNqWqmt1rfS9mBjhR8CLDKStUruw5GcbjIdX2iDBEWJ%2FpP9Ket4J%2BVB2hJGL4dGvsHahjB5w3Mi%2F%2BAcnF5%2F1RQIZHUC82xRUBuHahkXJBBmknBGkJHck2m9KLvoueRZV3qIzFmculzA15Sukq5bmp13JAu2u%2F1h3clGfD2Yv9ix08HH4cxwSPsrGSlQWtvGsbfJ4chspfsm5Sl5H7SBDl9Xa%2B3TaVvDomk9gOu9DJGpMMGjGLInNO4MjVacUXEdAc7nLCcEfucimG1%2BBY%2FVgDOghafVgwfNe85mF9t%2F143rbLkkZw7%2F2hNOIZRZHXkeI5yneLa317eqNEvAaN30k6BdA9Mr3wCGvPlDV1cxhktq7ut1t75VNLNOhwsoIxvtNN2ojMNK7qmvOPiolpwdfCxcGh4QG4mrNHGSbxL3ybSm6DCphY1OEUPv2lAdbxOHf%2F7F9g4xr8wLktRtwwn6%2FrKwK7gYYlFjpAOVEEOptBDe9MQQltJPnEmJKFcrLjn756PBVS1ocjFbdaxGi%2BtxpTJlabRFpl0hn3l0KSbw7D9P5QOuCzJL0chAZMEsMbAw4pMNoJPWAGdvQKmi362cYcY4atuyjduL9ztSAHRBeOJBoUQn66UVWRAkDJO04wBqM%2Fv5t7cteOA4b67eDCGPVo%2F3NxZoFezBmMdv6hq8lY8e7MVyg7oXtoqiG7puElabyErQxmzMicVS9ONdQ5u8nSftHA4bznES9OX8i2TsWYDLZRTuqhQMy12VCgEd0zd6VHFcOMOfr0yrogeoAoEOiU3ME5O0m3GCKYXTR%2FTJs%2B2dVB7USPC967tYQ1tMB4BcwyDSGifimAM1R79OycQ%3D%3D&searchVariation=187134897745,Frete grátis,2025-05-18 18:21:23.188192,Mini Pc Lenovo M900 Core I5 6th 16gb Ssd 240gb Windows 11,1349,Novo  |  +5 vendidos,"em 12x R$ 112 , 50 sem juros",Lenovo,ThinkCentre,M900,Intel Core i5,Windows 11 Pro,240 GB,Integrada,16 GB,240 GB,Preto,11,,Não,Não,Lenovo,
mac-mini-m4,Mini Cpu Lenovo Think M910 I5-7° 16gb Ssd 256gb Windows 11,1699,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Hscv1MxHSzsv4ajlwym%2BM2ze9TTzM7orLH98aCMtcEAmoUAJUQlGRIuetB9C%2F2cgeILVy9dYvE8qLIB13gCAxbyo3dHLtQ8TgzA0nL88671ls%2Bq5qWH%2BQ14gUHz%2FFPvuEoP8uhFjaFpVn7QBE1GJ4C70%2BgZ3nirAEvfkri2Qep1xmqlh7RMpWHZrBYmk8%2BwbEaNqjLrTHFK%2FYPOmAFt5WxjMX0GpHjclnvCtmdmwxv69hAsXC5JIK%2B1CYPNfSVmJ81SHRkuxXgLkbGGIQmk4CldbI%2BW2P1Juad8HZPA5k0Bziq8kQth%2F6PBCSnws3bARAfSjjsZ2smxzTQUuPcXuUf69dElw%2FkgESoxlklFiQFY8BoglcCpV%2BHOxuRmfy4Lk35rQdrC3hJvmzF3L9UHiOupqzAZLnTBW9ib3apXHFJmAdNiZQCDw2Upmh7UxP0M5%2FM69XLC4aCByMQZ5iLPQas6ioFv%2BESNzuGFLFAJjH2AoZolQhV8BuL1Qe%2FHqxrawFTBMhojmcO4eXoXqA7MZJD2c%2Bl1pxjnFiurKEEJrgcLXOGs%2Fr%2FaRFZMqSeA02QtLlPUjSgF77OASS9A3dY0gMZkUDy8j6zAduZg7ZA5rLFwK5NGMthe7gTITbTxllmGg%2B3RVKxyypwFnFR14CAuSNsHK1Lr67L7%2FYzp8IB7n9tZBhNOTEQoq%2BNl1vG1RCIy3dl6niUKpFvoldntrfYovGbVYhkAGHj0g69mn0lxbS%2F4mEy%2Bjs32bat7P75rstr%2FUxgIfqZossY%2BNe5xTVcR9WaUrPhVLWqIjVStAI5BnXsPNghedU1TJKNQYmJ6yrT%2FmbK5MWoWnwXBPqEpSkqtY29Ju3U1Ohtd6Mgik%2FeMGIjYEJJXvAGq2B%2Fhr1t1uPS0VY5wrrUREeUWkhzMixsJ%2F6ElI3RO%2FIYRWQRuGKXVipaOMrOyWdojoMTOBsNzJ1jq0bN2ezKeUwnc%3D&searchVariation=182808093540,Frete grátis,2025-05-18 18:21:23.188192,Mini Cpu Lenovo Think M910 I5-7° 16gb Ssd 256gb Windows 11,1699,Novo  |  +25 vendidos,"em 12x R$ 141 , 58 sem juros",Lenovo,102692,Mini PC,Intel Core i5,Windows,256 GB,Intel 4600,16 GB,256 GB,Preto,24223002,4,Não,Não,Lenovo,kitcompletowindows11
mac-mini-m4,Mini Pc Lenovo M900 Core I5-6500t Ram 32gb Ssd 480gb Win10,2400,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=HW6n1pF0i2pqXiJ%2F5Pylyo7FHELhhNCaS1o9QUnA1WRNgnpx58pvvOakNT56hxrCimBjedJ%2BZS3bgkZ%2BW8ha%2F0cNEzBqdNAs1v59OakWyVM2R3SibRF2ljUnQ1aifxpJZj8RbIqQ7EhTtYrZ4sfGM%2FF%2BeQyRPCWxeVIaM9HIzsQA7IVZmzl0H24j6dDRVpTtIvVbik9XtcgHZzzZ6QibUBc1hfEKaJ6DBFXPo%2FiX9GVTBDtg%2BE46PBkaatuhx3xhm2L736yELp8PBNtN6RyXGHP5V9WMehbg%2B0jzPWwZUhK3AWoD6StVWUko3%2BpgJ66hO%2BDwMIcOwodu7hlFA%2Bi2bTfBun7SkOugAizRqfmpxLk3ahSAZpWAEv7dlNX81O%2FphLSguhr6N378K%2FFk5WEUfvwPdlc%2B46Meige%2FflhEGV9gLmcgDudXOxTXk9jNJpm3h9DtcK1cbgLbTdL%2F3qjK%2F0%2FmOEGoPYk%2FF1FpVt6u17bNHEUAVOM92uKeMC1q76CtfECPyKtuvKlG1pzlkikSJiIgyvaOwUo6LcZPVa%2BVWfoZI7FQaDGGAw7cG2B4z1pSalwZY5wbADlEzHY0OGDIuPuK%2F41Te%2FQgbpWEyEp5NDFnk4EUHcAx00y5oQ2n0yDxRo21S4Fk1a%2FEXG%2BoGKN%2BOvqiacCultC6Nwiy0qOT1XAy2bzziJdTZG6G8%2BTxJJ4nIqiR0DfldyqDJqEDCvxzaNfQEASYUfDvg998cf180FMEdMgVn1cpNEXA5eIeG8p2OcahXnU8FUWm4ck%2FnpHe3C7kVsKvVewF6NdnZUhQo3WLgdLwswhl4Ig4yKkBGHBnXeNiKnH6mXR1bOjS5TNxvMwawg%2F%2BQSbwcqZDqcXlFar%2BPkC%2BkBvjlVDkiG9C4AP6u8YO94hHXHA0a4XVzOFSmDvMSXnQUWvwJQTtYF7roAS2J8yi933Z%2FNL43Rd0cppAsB1iVZWZmirN3w%3D%3D&searchVariation=180008750714,Frete grátis,2025-05-18 18:21:23.189195,Mini Pc Lenovo M900 Core I5-6500t Ram 32gb Ssd 480gb Win10,2400,Novo  |  +25 vendidos,em 12x R$ 166 sem juros,Mini PC Lenovo,Mini CPU ThinkCentre,Mini Desktop M900,CPU Intel Core i5,Windows 10 PRO,480 GB,Integrada,32 GB,480 GB,Preto,10,4,Não,Não,Lenovo,
mac-mini-m4,Apple Mac Mini M4 16gb Ram 512gb Lacrado Com Garantia Apple,7956,https://produto.mercadolivre.com.br/MLB-4062628359-apple-mac-mini-m4-16gb-ram-512gb-lacrado-com-garantia-apple-_JM?searchVariation=183610772320,Frete grátis,2025-05-18 18:21:23.189195,Apple Mac Mini M4 16gb Ram 512gb Lacrado Com Garantia Apple,7956,Novo,"em 12x R$ 663 , 02 sem juros",Apple,M4,Mac mini,M4,macOS,512 GB,Apple M4 10-core,16 GB,512 GB,Prateado,Sequoia,10,Não,Não,Apple Inc,MU9ELL/A
mac-mini-m4,Apple Mac Mini M4 16gb/256gb Ssd - Silver,5799,https://produto.mercadolivre.com.br/MLB-5328662074-apple-mac-mini-m4-16gb256gb-ssd-silver-_JM?searchVariation=187320628385,Frete grátis,2025-05-18 18:21:23.189195,Apple Mac Mini M4 16gb/256gb Ssd - Silver,5799,Novo  |  2 vendidos,"em 12x R$ 483 , 25 sem juros",Apple,M4,Mac mini,M4,macOS,256 GB,Apple M4 10-core,16 GB,256 GB,Prateado,Sierra,10,Não,Não,Apple,MU9D3LL/A
mac-mini-m4,Apple Mac Mini M4 16gb Ram 512gb Garantia Apple Lacrado 2024,7596,https://produto.mercadolivre.com.br/MLB-4062551265-apple-mac-mini-m4-16gb-ram-512gb-garantia-apple-lacrado-2024-_JM?searchVariation=187945956869,Frete grátis,2025-05-18 18:21:23.189195,Apple Mac Mini M4 16gb Ram 512gb Garantia Apple Lacrado 2024,7596,Novo,"em 12x R$ 730 , 12",Apple,M4,Mac mini,M4,macOS,512 GB,Apple M4 10-core,16 GB,512 GB,Prateado,Sequoia,10,Não,Não,Apple Inc,MU9ELL/A
mac-mini-m4,SSD Apple Mac Mini M2 Pro de 512 GB 16 GB de RAM 2023,11299,https://www.mercadolivre.com.br/ssd-apple-mac-mini-m2-pro-de-512-gb-16-gb-de-ram-2023/p/MLB22934158,Frete grátis,2025-05-18 18:21:23.189195,SSD Apple Mac Mini M2 Pro de 512 GB 16 GB de RAM 2023,11299,Novo  |  4 vendidos,"em 12x R$ 1.086 , 02",Apple,,Mac mini,M2 pro,macOS,512 GB,,16 GB,512 GB,Silver,,,,,,
